span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-22	1	22	22	1	3	SubspanRepetition-Coordination-Maximal	morphosyntactic	False		#BC3C29
5-13	5	13	9	1	1	NonPermutability-Strict	morphosyntactic	False	3	#BC3C29
5-17	5	17	13	1	2	BiuniquenessDeviation-TAMP	morphosyntactic	False	6	#BC3C29
5-18	5	18	14	1	3	Ciscategorial-Maximal	morphosyntactic	False	9	#BC3C29
5-19	5	19	15	1	3	NonInterruptibility	morphosyntactic	False	8	#BC3C29
5-21	5	21	17	1	3	NonPermutability-Scopal	morphosyntactic	False	7	#BC3C29
9-18	9	18	10	1	1	BiuniquenessDeviation-2pl	morphosyntactic	False	1	#BC3C29
10-17	10	17	8	2	2	SubspanRepetition-Coordination-Minimal|SubspanRepetition-Reduplication	morphosyntactic	False	5	#BC3C29
10-18	10	18	9	1	1	Ciscategorial-Minimal	morphosyntactic	False	2	#BC3C29
13-15	13	15	3	1	2	BiuniquenessDeviation-Valency	morphosyntactic	False	4	#BC3C29
